pair,exchange,entry_tf,leverage,risk_pct,stop_atr_mult,stop_mode,entry_threshold,trades,win_rate,profit_factor,payoff_ratio,avg_r,total_pnl,return_pct,final_equity,max_drawdown_pct,max_drawdown,sharpe,avg_duration_min,error
XRPUSDT,binance,5,50.0,0.005,3.0,atr,0.8,91,0.3626,1.289,2.266,0.208,1.85,0.0924,21.85,0.0722,1.46,1.429,332.1,
XRPUSDT,binance,5,50.0,0.005,3.0,channel,0.8,91,0.3626,1.289,2.266,0.208,1.85,0.0924,21.85,0.0722,1.46,1.429,332.1,
XRPUSDT,binance,5,50.0,0.005,2.0,atr,0.8,120,0.275,1.215,3.202,0.198,2.23,0.1114,22.23,0.1194,2.43,1.039,248.1,
XRPUSDT,binance,5,50.0,0.005,2.0,channel,0.8,120,0.275,1.215,3.202,0.198,2.23,0.1114,22.23,0.1194,2.43,1.039,248.1,
XRPUSDT,binance,15,50.0,0.005,2.0,atr,0.8,80,0.4125,1.085,1.546,0.06,0.42,0.0211,20.42,0.0731,1.47,0.557,374.6,
XRPUSDT,binance,15,50.0,0.005,2.0,channel,0.8,80,0.4125,1.085,1.546,0.06,0.42,0.0211,20.42,0.0731,1.47,0.557,374.6,
XRPUSDT,binance,15,50.0,0.005,3.0,atr,0.8,59,0.4576,1.07,1.268,0.038,0.2,0.0101,20.2,0.0563,1.13,0.476,475.9,
XRPUSDT,binance,15,50.0,0.005,3.0,channel,0.8,59,0.4576,1.07,1.268,0.038,0.2,0.0101,20.2,0.0563,1.13,0.476,475.9,
ETHUSDT,binance,5,50.0,0.005,2.0,atr,0.8,105,0.2,1.053,4.211,0.093,0.5,0.0252,20.5,0.2508,5.35,0.419,272.6,
ETHUSDT,binance,5,50.0,0.005,2.0,channel,0.8,105,0.2,1.053,4.211,0.093,0.5,0.0252,20.5,0.2508,5.35,0.419,272.6,
BNBUSDT,binance,15,50.0,0.005,3.0,atr,0.8,31,0.3871,1.002,1.586,0.055,0.0,0.0001,20.0,0.0358,0.73,0.569,525.5,
