symbol,setup,stop_tf,entry_ts,direction,session_utc,entry,sl,tp,stop_pct,target_pct,planned_rr,gross_r,base_cost_r,stress_cost_r,base_net_r,stress_net_r,mfe_r,mae_r,bars_to_exit,exit_kind,trend_strength,consolidation_state,shock_alignment,compression_state,pre_range_atr_16,adx_14,plus_di_14,minus_di_14,dmi_alignment,vwap_alignment,ema_alignment,vwap_trend_overridden,vwap_price,ema21_price,ema21_slope
BTCUSDT,context_change,15,2026-01-20 01:30:00+00:00,short,asia,92707.19,92870.0,92370.25,0.17561744671583474,0.3634453810971968,2.069528898716339,2.069528898716339,0.0007907279093532696,0.0026357596978442326,2.068738170806986,2.066893139018495,2.717830600086061,-0.7928874147779519,8,target,trend,directional,no_shock,normal,3.3393995443810227,38.81160494144249,12.250506823834183,33.97861934917516,aligned,flat,aligned,False,92668.2987594165,92790.38372746545,-25.689953554945532
BTCUSDT,context_change,15,2026-01-21 01:45:00+00:00,short,asia,89020.91,89645.56,87771.61000000002,0.7016890750723557,1.4033781501447113,2.0,-1.0,0.00029917493287459423,0.0009972497762486476,-1.0002991749328747,-1.0009972497762487,0.03347474585768621,-1.4636676538861881,15,stop,strong_trend,directional,no_shock,normal,4.473967133105983,56.409193735788946,15.812055578184285,36.65095227048953,aligned,opposed,opposed,False,88793.33226959285,89032.08634449591,1.7465859217772959
BTCUSDT,context_change,15,2026-02-02 03:00:00+00:00,short,asia,75890.1,77740.91,72188.48000000001,2.438802953217874,4.877605906435748,2.0,-1.0,0.00020985929240084622,0.0006995309746694874,-1.000209859292401,-1.0006995309746696,0.6948849422685243,-1.040031121508959,27,stop,weak_or_range,range,no_shock,normal,3.780676299640687,15.420774048498973,15.967059837667742,23.260602388044514,aligned,aligned,aligned,False,77196.89566663631,77129.86342932875,-279.5894442394929
BTCUSDT,context_change,15,2026-02-18 00:15:00+00:00,short,asia,67495.79,67788.42,66910.52999999998,0.43355296678504646,0.8671059335700929,2.0,2.0,0.0004654488407044427,0.001551496135681476,1.9995345511592955,1.9984485038643185,2.063219765574224,-0.3915524724054264,5,target,trend,directional,no_shock,normal,3.3082552408258223,26.05141052658676,14.925624076384592,22.11765642836361,aligned,flat,aligned,False,67551.32067057723,67606.11847235852,-50.931376659616944
BTCUSDT,context_change,15,2026-03-04 01:15:00+00:00,long,asia,68251.99,67857.61,69040.75000000001,0.5778293057828857,1.1556586115657714,2.0,-1.0,0.0005182858035780644,0.0017276193452602146,-1.0005182858035782,-1.0017276193452602,1.6667934479435658,-2.1603276028196032,9,stop,transition,transition,no_shock,normal,3.480745317572839,20.176570231548247,25.43679267649504,14.536450596824958,aligned,flat,opposed,False,68166.72188734739,68227.78215478736,-48.74863741923764
BTCUSDT,context_change,15,2026-03-15 02:00:00+00:00,long,asia,71305.29,70858.82,72198.22999999997,0.6261386777895254,1.2522773555790507,2.0,2.0,0.0001954848687912325,0.0006516162293041084,1.9998045151312087,1.9993483837706958,2.052948686361971,-0.313302125562735,78,target,strong_trend,directional,no_shock,normal,3.654344093165554,42.77267217409727,30.38128079278735,13.65901360146301,aligned,aligned,aligned,False,71082.36152206194,70958.25039991485,47.806800247970386
BTCUSDT,context_change,15,2026-03-23 00:00:00+00:00,short,asia,67957.48,68474.0,66924.43999999999,0.760063498528792,1.520126997057584,2.0,-1.0,0.0003205977036488042,0.001068659012162681,-1.000320597703649,-1.0010686590121627,0.9918299388213406,-1.215132037481597,12,stop,strong_trend,directional,no_shock,normal,3.4230613012410296,43.52398588297213,15.80895073335783,27.37935851286693,aligned,flat,aligned,False,67953.55666666666,68177.45841611217,-73.86152082064655
BTCUSDT,context_change,15,2026-03-23 01:30:00+00:00,short,asia,68044.0,68474.0,67184.0,0.6319440362118629,1.2638880724237258,2.0,-1.0,0.0004125390136365024,0.001375130045455008,-1.0004125390136365,-1.001375130045455,0.5635581395348878,-1.2584186046511519,6,stop,weak_or_range,range,no_shock,normal,3.0147372474982594,16.186279291568052,17.472460540553925,18.01958687147952,aligned,opposed,aligned,False,67891.07180250889,68057.99386953775,-102.7919632915
BTCUSDT,context_change,15,2026-04-16 00:30:00+00:00,long,asia,74727.2,74466.5,75425.6,0.34886895267050966,0.9345994497318364,2.6789413118527676,-1.0,0.0005809708461488353,0.001936569487162785,-1.0005809708461488,-1.0019365694871627,0.32527809743001096,-1.1975450709627946,2,stop,trend,directional,no_shock,normal,4.258504611916902,35.84795339787466,28.21128807426539,19.09422546489928,aligned,flat,opposed,False,74623.26811931084,74663.1999613603,-7.21538641009829
BTCUSDT,context_change,15,2026-04-16 05:30:00+00:00,long,asia,75016.8,74800.0,75450.40000000001,0.28900193023429804,0.5780038604685961,2.0,-1.0,0.0006168052273280826,0.002056017424426942,-1.000616805227328,-1.0020560174244268,0.28736162361624573,-1.0,8,stop,trend,directional,no_shock,normal,3.0267859851357244,28.851144586626315,26.616107993325965,9.974215076596435,aligned,aligned,aligned,False,74857.84566814477,74869.12089776543,65.97626870521344
