window_start,window_end,trades,base_avg_r,base_pf,stress_avg_r,stress_pf,base_return_r,stress_return_r,median_stop_pct
2026-01-20 00:00:00+00:00,2026-02-19 00:00:00+00:00,16,0.517293099817195,2.129283656345371,0.4118103327239827,1.8137370644652104,8.27668959707512,6.588965323583723,1.4380936310412193
2026-01-27 00:00:00+00:00,2026-02-26 00:00:00+00:00,15,0.42379077820999467,1.8664209327502717,0.3237470384777602,1.5978289221305095,6.35686167314992,4.856205577166403,1.4411877639831099
2026-02-03 00:00:00+00:00,2026-03-05 00:00:00+00:00,16,0.3169522623069631,1.5944586986207914,0.1815075410232101,1.2972643066433571,5.07123619691141,2.9041206563713615,1.1780718226414484
2026-02-10 00:00:00+00:00,2026-03-12 00:00:00+00:00,14,0.4358256038179533,1.8134842126706967,0.28608534605984426,1.4620446174739539,6.1015584534513465,4.00519484483782,1.129174073880462
2026-02-17 00:00:00+00:00,2026-03-19 00:00:00+00:00,14,0.28287622743513335,1.5208307535801222,0.10958742478377795,1.170232851578143,3.960267184091867,1.5342239469728913,0.7437917710484516
2026-02-24 00:00:00+00:00,2026-03-26 00:00:00+00:00,22,0.1949191983535754,1.3296103569638855,0.013367024814948215,1.0191372777316003,4.288222363778659,0.29407454592886073,0.7420501212980752
2026-03-03 00:00:00+00:00,2026-04-02 00:00:00+00:00,17,0.03986846176131656,1.06255996349469,-0.14161493138384676,0.8116148525234356,0.6777638499423815,-2.4074538335253948,0.760063498528792
2026-03-10 00:00:00+00:00,2026-04-09 00:00:00+00:00,15,0.3896716567982122,1.7703292939503192,0.21001663377181856,1.3516215634487112,5.845074851973183,3.1502495065772784,0.7618555247450316
2026-03-17 00:00:00+00:00,2026-04-16 00:00:00+00:00,11,0.009226780630350418,1.013435998836649,-0.18136527668671085,0.7744832971159716,0.1014945869338546,-1.9950180435538192,0.760063498528792
2026-03-24 00:00:00+00:00,2026-04-23 00:00:00+00:00,7,1.5010555103430516,10.58979646823066,1.3368517011435048,8.095022994895698,10.50738857240136,9.357961908004533,0.8093396361552848
2026-03-31 00:00:00+00:00,2026-04-30 00:00:00+00:00,8,1.1783398476194806,5.395173275007337,1.011132825398269,4.2582639657578385,9.426718780955845,8.089062603186152,0.7855975804501583
2026-04-07 00:00:00+00:00,2026-05-07 00:00:00+00:00,11,1.3739058517365235,8.046364556393279,1.1857467785156837,6.253789974838697,15.112964369101757,13.043214563672521,0.7169243986254319
2026-04-14 00:00:00+00:00,2026-05-14 00:00:00+00:00,13,1.5326669107216042,19.022254718373375,1.3396589331745792,13.882631199001624,19.924669839380854,17.41556613126953,0.7169243986254319
2026-04-21 00:00:00+00:00,2026-05-21 00:00:00+00:00,14,1.5570300726405197,20.71709941459866,1.3567669088017327,15.050774237426003,21.798421016967275,18.994736723224257,0.6497940051770257
2026-04-28 00:00:00+00:00,2026-05-28 00:00:00+00:00,11,1.4523914604609804,15.351810381529894,1.2352442621426614,10.865428152461394,15.976306065070785,13.587686883569276,0.5990879030157348
2026-05-05 00:00:00+00:00,2026-06-04 00:00:00+00:00,17,1.5741473961959984,24.095624914191518,1.3895753738550336,16.45040015990891,26.76050573533197,23.622781355535572,0.7632263660017397
2026-05-12 00:00:00+00:00,2026-06-11 00:00:00+00:00,33,1.5395597490704076,10.62214683245146,1.3920443023130658,8.742026386208117,50.80547171932345,45.93746197633117,0.9890109890109744
2026-05-19 00:00:00+00:00,2026-06-18 00:00:00+00:00,29,1.4908061810277256,9.188053552634432,1.3573731176298773,7.634143968228044,43.23337924980404,39.363820411266445,1.0575212492587345
2026-05-26 00:00:00+00:00,2026-06-25 00:00:00+00:00,29,1.490630804410656,9.18709032002196,1.3567885289063135,7.631286798225225,43.22829332790902,39.34686733828309,1.0575212492587345
2026-06-02 00:00:00+00:00,2026-07-02 00:00:00+00:00,30,1.2704095797641743,5.506741354785754,1.1320060296112378,4.566336385176563,38.11228739292523,33.960180888337135,0.965667252199762
