symbol,setup,stop_tf,entry_ts,direction,session_utc,entry,sl,tp,stop_pct,target_pct,planned_rr,gross_r,base_cost_r,stress_cost_r,base_net_r,stress_net_r,mfe_r,mae_r,bars_to_exit,exit_kind,trend_strength,consolidation_state,shock_alignment,compression_state,pre_range_atr_16,adx_14,plus_di_14,minus_di_14,dmi_alignment,vwap_alignment,ema_alignment,vwap_trend_overridden,vwap_price,ema21_price,ema21_slope
BTCUSDT,context_change,15,2026-04-22 02:00:00+00:00,long,asia,76696.3,76170.0,77748.90000000001,0.6862130246178797,1.3724260492357594,2.0,2.0,0.08743640509215227,0.29145468364050764,1.9125635949078477,1.7085453163594924,3.3273798213946177,-0.0,13,target,trend,directional,no_shock,expanded,5.805562158307638,39.84929596359585,36.80600359944334,8.682807565621927,aligned,aligned,aligned,False,76384.33325261329,76052.32305172848,180.12366668923642
BTCUSDT,context_change,15,2026-05-06 03:30:00+00:00,long,asia,81499.9,81000.0,82499.69999999998,0.6133749857361717,1.2267499714723433,2.0,2.0,0.09781944388877888,0.3260648129625963,1.902180556111221,1.6739351870374037,2.658131626325302,-0.9887977595518986,31,target,trend,directional,no_shock,normal,4.474270111321199,26.831291516805088,37.516128064332506,14.603774717196691,aligned,aligned,aligned,False,81204.26786158903,81259.80880394386,86.155656104238
BTCUSDT,context_change,15,2026-05-28 00:00:00+00:00,short,asia,74409.6,75391.0,72446.80000000002,1.3189158388164888,2.6378316776329775,2.0,0.0,0.04549190951701678,0.15163969839005595,-0.04549190951701678,-0.15163969839005595,1.8887303851640684,-0.15865090686773795,96,expiry,trend,directional,no_shock,normal,4.8194246072230404,34.735018060940924,7.4416299880492085,36.46777625557502,aligned,flat,aligned,False,74453.36666666667,74665.78736020671,-176.52699527978257
BTCUSDT,context_change,15,2026-06-05 02:00:00+00:00,short,asia,63145.0,63547.5,62340.0,0.6374218069522528,1.2748436139045056,2.0,2.0,0.09412919254658383,0.31376397515527954,1.905870807453416,1.6862360248447206,2.099378881987578,-0.24422360248447927,4,target,weak_or_range,range,no_shock,normal,3.112869794610882,12.460111739446557,21.770774448840985,23.31590352364797,aligned,aligned,aligned,False,63438.82519497786,63483.1211058723,-108.49051634610805
BTCUSDT,context_change,15,2026-06-06 01:30:00+00:00,short,asia,61025.0,61500.0,60075.0,0.7783695206882425,1.556739041376485,2.0,2.0,0.07708421052631578,0.25694736842105265,1.9229157894736841,1.7430526315789474,2.049894736842099,-0.29368421052631577,10,target,trend,directional,no_shock,normal,3.8165690253622517,31.905323103446484,16.737984610016355,30.956272612073178,aligned,flat,opposed,False,61232.087017545826,61153.3668055663,2.9470915337078623
ETHUSDT,context_change,15,2026-04-26 05:30:00+00:00,long,asia,2328.0,2311.31,2361.38,0.7169243986254319,1.4338487972508638,2.0,2.0,0.08369083283403207,0.27896944278010694,1.916309167165968,1.7210305572198932,2.276812462552419,-0.36129418813661957,50,target,trend,directional,no_shock,expanded,6.270791938688684,36.18254907165231,42.0806131138241,14.518875957990554,aligned,aligned,aligned,False,2320.860349052803,2316.7500167775647,4.086037257128737
ETHUSDT,context_change,15,2026-05-15 05:00:00+00:00,short,asia,2265.11,2278.68,2237.9700000000007,0.5990879030157348,1.1981758060314696,2.0,2.0,0.10015224760501319,0.333840825350044,1.8998477523949868,1.666159174649956,2.126750184229974,-0.06927044952100772,2,target,strong_trend,directional,no_shock,normal,4.229592287963185,49.09196155032869,5.9432210135312555,33.05916688776869,aligned,aligned,aligned,False,2275.4067045221864,2274.7527038791923,-5.380725145286306
ETHUSDT,context_change,15,2026-06-02 06:15:00+00:00,short,asia,1984.05,2005.92,1940.3099999999997,1.1022907688818386,2.2045815377636773,2.0,2.0,0.0544320987654318,0.18144032921810602,1.9455679012345681,1.818559670781894,2.7457704618198275,-0.2560585276634708,32,target,transition,transition,no_shock,normal,4.840566633582979,24.35220862052026,10.520617161418448,24.704502391049214,aligned,aligned,aligned,False,1989.1709663867339,1992.648600150017,-4.112326377587124
ETHUSDT,context_change,15,2026-06-04 05:00:00+00:00,short,asia,1791.79,1817.3,1740.77,1.4237159488556133,2.8474318977112265,2.0,2.0,0.04214323794590358,0.1404774598196786,1.9578567620540963,1.8595225401803215,2.466091728733825,-0.37828302626421384,23,target,strong_trend,directional,no_shock,expanded,5.728366135582625,50.945361714089245,22.770228053733177,25.952827241487036,aligned,opposed,opposed,False,1778.447174066254,1797.4040289541083,4.2082731832267655
ETHUSDT,context_change,15,2026-06-05 00:45:00+00:00,short,asia,1758.53,1776.22,1723.1499999999999,1.0059538364429412,2.0119076728858825,2.0,2.0,0.05964488411531921,0.19881628038439733,1.9403551158846808,1.8011837196156026,2.1068400226116375,-0.2866026003391702,9,target,trend,directional,no_shock,normal,2.88497952058016,30.78086598429834,11.616195528100484,29.685086953602706,aligned,aligned,aligned,False,1766.7583041947626,1766.9748972053878,-0.5907161928614642
ETHUSDT,context_change,15,2026-06-26 02:00:00+00:00,short,asia,1521.48,1579.0,1406.44,3.7805294844493504,7.561058968898701,2.0,-1.0,0.015870792767732966,0.05290264255910989,-1.015870792767733,-1.05290264255911,0.18445757997218587,-1.0413769123783052,21,stop,trend,directional,no_shock,normal,4.37757661686116,28.065807686688483,8.256080270476263,22.63060311920595,aligned,aligned,aligned,False,1546.18995464486,1562.0223090403206,-7.157235092206292
ETHUSDT,context_change,15,2026-06-26 04:45:00+00:00,short,asia,1548.99,1563.27,1520.43,0.9218910386768135,1.843782077353627,2.0,-1.0,0.06508361344537827,0.21694537815126094,-1.0650836134453783,-1.216945378151261,0.46988795518207627,-1.6302521008403374,7,stop,strong_trend,directional,no_shock,normal,4.084447572132313,60.85638214996449,17.1458731275761,32.42183572936586,aligned,opposed,opposed,False,1539.9300278986273,1550.6083876340556,1.1540051655322259
SOLUSDT,context_change,15,2026-04-22 00:00:00+00:00,long,asia,86.12,84.95,88.46000000000001,1.3585694379934994,2.7171388759869988,2.0,2.0,0.0441641025641025,0.147213675213675,1.9558358974358976,1.852786324786325,2.358974358974348,-0.11111111111111921,36,target,weak_or_range,volatile_range,no_shock,expanded,5.319999999999947,17.940389450171313,26.22222222222189,11.777777777777729,aligned,flat,aligned,False,86.08666666666666,85.47284416267813,0.22609311024334033
SOLUSDT,context_change,15,2026-04-27 01:30:00+00:00,long,asia,87.57,86.5,89.70999999999998,1.2218796391458187,2.4437592782916373,2.0,-1.0,0.04910467289719657,0.16368224299065523,-1.0491046728971967,-1.1636822429906553,0.4766355140186994,-1.5887850467289715,15,stop,transition,transition,no_shock,normal,4.4568345323741,19.62065270011348,31.47482014388496,16.54676258992812,aligned,aligned,aligned,False,87.23099087505396,86.94957199663102,0.23852850033676987
SOLUSDT,context_change,15,2026-05-06 05:00:00+00:00,long,asia,86.84,86.34,87.84,0.5757715338553662,1.1515430677107323,2.0,2.0,0.104208,0.34736,1.895792,1.6526399999999999,2.0600000000000023,-0.14000000000001478,9,target,trend,directional,no_shock,normal,4.014705882352935,27.416334192155226,24.01960784313728,24.01960784313693,aligned,flat,aligned,False,86.79048008823057,86.80628009769069,0.077357337558837
SOLUSDT,context_change,15,2026-05-09 01:30:00+00:00,long,asia,93.15,92.16,95.13000000000002,1.0628019323671596,2.125603864734319,2.0,0.0,0.05645454545454493,0.18818181818181648,-0.05645454545454493,-0.18818181818181648,1.0202020202020017,-0.8383838383838433,96,expiry,transition,transition,no_shock,normal,3.7205479452055097,20.744363950976826,29.31506849315073,17.80821917808225,aligned,aligned,aligned,False,92.60803467637217,92.20329412914575,0.2557114012152084
SOLUSDT,context_change,15,2026-05-28 03:00:00+00:00,short,asia,81.9,82.71,80.28000000000003,0.9890109890109744,1.9780219780219488,2.0,2.0,0.060666666666667556,0.20222222222222522,1.9393333333333325,1.7977777777777748,2.4567901234568374,-0.07407407407406043,4,target,strong_trend,directional,no_shock,normal,2.7871853546910508,48.45999676883296,7.322654462242424,17.391304347826242,aligned,aligned,aligned,False,82.23932649680923,82.43692691910191,-0.2175332533809211
SOLUSDT,context_change,15,2026-06-03 01:30:00+00:00,short,asia,74.14,76.03,70.36,2.549231184246022,5.098462368492044,2.0,2.0,0.02353650793650793,0.07845502645502643,1.976463492063492,1.9215449735449737,2.05291005291005,-0.8095238095238099,92,target,strong_trend,directional,no_shock,normal,4.75631951466128,48.89713550717447,11.830131445904989,33.67037411526783,aligned,aligned,aligned,False,74.64307697773924,74.84214400153138,-0.09900793437495281
SOLUSDT,context_change,15,2026-06-04 04:45:00+00:00,short,asia,70.85,71.74,66.59,1.2561750176429085,6.012702893436826,4.786516853932571,4.786516853932571,0.04776404494382019,0.15921348314606731,4.7387528089887505,4.627303370786503,4.988764044943815,-0.3707865168539464,93,target,strong_trend,directional,no_shock,expanded,5.731319554848984,48.43523388478717,24.324324324324454,33.624801271860285,aligned,opposed,opposed,False,69.70476386655642,70.88656009434861,0.21052569679920907
SOLUSDT,context_change,15,2026-06-04 06:45:00+00:00,short,asia,70.31,71.18,68.57,1.2373773289717032,2.4747546579434063,2.0,2.0,0.048489655172413534,0.16163218390804512,1.9515103448275866,1.8383678160919548,2.1609195402298687,-0.057471264367812525,5,target,weak_or_range,range,no_shock,normal,3.643835616438355,16.87202022454166,21.91780821917829,23.42465753424678,aligned,opposed,aligned,False,69.81050886711236,70.68462404571359,-0.05263372614861339
SOLUSDT,context_change,15,2026-06-05 00:45:00+00:00,short,asia,68.24,68.83,67.05999999999999,0.8645955451348233,1.7291910902696466,2.0,2.0,0.06939661016949111,0.23132203389830372,1.9306033898305088,1.7686779661016963,2.1864406779660754,-0.9152542372881409,9,target,strong_trend,directional,no_shock,normal,2.859025032938086,52.446878853108174,17.5230566534915,26.745718050065843,aligned,aligned,opposed,False,68.64021423290808,68.59463315376985,0.025412913291958716
SOLUSDT,context_change,15,2026-06-05 04:30:00+00:00,short,asia,67.18,68.78,63.98000000000002,2.3816612086930546,4.763322417386109,2.0,2.0,0.025192500000000093,0.0839750000000003,1.9748074999999998,1.9160249999999996,2.1500000000000106,-0.5437499999999958,7,target,transition,transition,no_shock,normal,4.032608695652181,24.67984384329144,18.043478260869524,23.80434782608677,aligned,aligned,aligned,False,67.73051207343252,67.78000919774036,-0.2916546153124955
SOLUSDT,context_change,15,2026-06-05 05:00:00+00:00,short,asia,67.66,68.78,65.41999999999999,1.6553355010345914,3.3106710020691827,2.0,2.0,0.036246428571428416,0.12082142857142808,1.9637535714285717,1.879178571428572,3.499999999999981,-0.29464285714285443,5,target,transition,transition,no_shock,normal,3.375381485249244,22.791617982395906,15.157680569684588,17.70091556459812,aligned,flat,aligned,False,67.72296725765203,67.77984231218211,-0.10706993001031151
SOLUSDT,context_change,15,2026-06-06 06:45:00+00:00,short,asia,62.17,63.31,59.89,1.8336818401158121,3.6673636802316243,2.0,-1.0,0.03272105263157893,0.10907017543859644,-1.0327210526315789,-1.1090701754385965,0.13157894736841974,-1.1052631578947345,6,stop,strong_trend,directional,no_shock,normal,4.47078189300411,53.79618588908244,19.17695473251028,26.33744855967081,aligned,flat,opposed,False,62.31213351611136,62.57707351733969,0.03848254692893249
