pair,exchange,entry_tf,leverage,entry_len,exit_len,stop_atr_mult,stop_mode,risk_pct,trades,win_rate,profit_factor,payoff_ratio,avg_r,total_pnl,return_pct,final_equity,max_drawdown_pct,max_drawdown,sharpe,avg_duration_min,error
BTCUSDT,binance,5,50.0,20,10,2.0,channel,0.005,7,0.2857,2.624,6.561,1.304,0.93,0.0465,20.93,0.0254,0.51,4.546,123.6,
BTCUSDT,binance,5,50.0,20,10,3.0,channel,0.005,7,0.2857,2.624,6.561,1.304,0.93,0.0465,20.93,0.0254,0.51,4.546,123.6,
BTCUSDT,binance,5,50.0,40,10,2.0,channel,0.005,5,0.2,1.791,7.164,1.249,0.31,0.0153,20.31,0.0159,0.32,3.938,77.0,
BTCUSDT,binance,5,50.0,40,10,3.0,channel,0.005,5,0.2,1.791,7.164,1.249,0.31,0.0153,20.31,0.0159,0.32,3.938,77.0,
BTCUSDT,binance,5,50.0,40,10,3.0,atr,0.005,11,0.3636,1.326,2.32,0.271,0.25,0.0123,20.25,0.0262,0.52,1.563,92.3,
BTCUSDT,binance,5,50.0,20,10,3.0,atr,0.005,12,0.3333,1.137,2.274,0.107,0.12,0.006,20.12,0.0369,0.74,0.636,87.9,
SOLUSDT,binance,15,50.0,40,10,2.0,atr,0.005,164,0.3232,0.91,1.906,-0.047,-0.82,-0.0412,19.18,0.0717,1.45,-0.498,313.8,
SOLUSDT,binance,15,50.0,20,10,2.0,atr,0.005,253,0.3162,0.883,1.91,-0.064,-1.65,-0.0826,18.35,0.1265,2.53,-0.643,307.9,
XRPUSDT,binance,15,50.0,40,10,3.0,atr,0.005,156,0.3462,0.883,1.669,-0.047,-0.77,-0.0383,19.23,0.0512,1.04,-0.637,377.8,
XRPUSDT,binance,15,50.0,40,10,2.0,channel,0.005,137,0.3577,0.882,1.584,-0.042,-0.6,-0.0299,19.4,0.0412,0.82,-0.689,390.0,
XRPUSDT,binance,15,50.0,40,10,3.0,channel,0.005,137,0.3577,0.882,1.584,-0.042,-0.6,-0.0299,19.4,0.0412,0.82,-0.689,390.0,
SOLUSDT,binance,15,50.0,20,10,3.0,atr,0.005,217,0.3502,0.865,1.604,-0.056,-1.28,-0.0639,18.72,0.1034,2.07,-0.742,358.2,
XRPUSDT,binance,15,50.0,40,10,2.0,atr,0.005,171,0.3158,0.854,1.851,-0.079,-1.4,-0.0701,18.6,0.0988,2.02,-0.78,328.2,
ETHUSDT,binance,5,50.0,20,10,3.0,atr,0.005,333,0.2823,0.847,2.153,-0.078,-2.61,-0.1306,17.39,0.2221,4.44,-0.672,110.5,
ETHUSDT,binance,5,50.0,40,10,2.0,atr,0.005,356,0.2528,0.843,2.492,-0.1,-3.7,-0.1851,16.3,0.3269,6.54,-0.624,95.9,
SOLUSDT,binance,15,50.0,40,10,3.0,atr,0.005,141,0.3404,0.837,1.622,-0.074,-1.0,-0.0499,19.0,0.0679,1.36,-1.053,361.0,
SOLUSDT,binance,15,50.0,20,10,2.0,channel,0.005,205,0.3317,0.834,1.681,-0.078,-1.52,-0.0759,18.48,0.1137,2.29,-1.024,347.4,
SOLUSDT,binance,15,50.0,20,10,3.0,channel,0.005,205,0.3317,0.834,1.681,-0.078,-1.52,-0.0759,18.48,0.1137,2.29,-1.024,347.4,
DOGEUSDT,binance,5,50.0,40,10,2.0,channel,0.005,466,0.3197,0.807,1.717,-0.076,-3.38,-0.1689,16.62,0.2685,5.53,-0.934,128.3,
DOGEUSDT,binance,5,50.0,40,10,3.0,channel,0.005,466,0.3197,0.807,1.717,-0.076,-3.38,-0.1689,16.62,0.2685,5.53,-0.934,128.3,
DOGEUSDT,binance,15,50.0,40,10,2.0,channel,0.005,120,0.3083,0.789,1.77,-0.083,-0.99,-0.0497,19.01,0.0686,1.39,-1.311,398.4,
DOGEUSDT,binance,15,50.0,40,10,3.0,channel,0.005,120,0.3083,0.789,1.77,-0.083,-0.99,-0.0497,19.01,0.0686,1.39,-1.311,398.4,
SOLUSDT,binance,15,50.0,40,10,2.0,channel,0.005,123,0.3171,0.782,1.685,-0.099,-1.15,-0.0575,18.85,0.0678,1.36,-1.449,351.1,
SOLUSDT,binance,15,50.0,40,10,3.0,channel,0.005,123,0.3171,0.782,1.685,-0.099,-1.15,-0.0575,18.85,0.0678,1.36,-1.449,351.1,
ETHUSDT,binance,5,50.0,20,10,2.0,atr,0.005,501,0.2415,0.767,2.409,-0.164,-6.92,-0.346,13.08,0.4498,9.0,-1.09,93.9,
BNBUSDT,binance,15,50.0,20,10,2.0,channel,0.005,243,0.3004,0.767,1.786,-0.093,-1.99,-0.0997,18.01,0.1217,2.43,-0.876,328.0,
BNBUSDT,binance,15,50.0,20,10,3.0,channel,0.005,243,0.3004,0.767,1.786,-0.093,-1.99,-0.0997,18.01,0.1217,2.43,-0.876,328.0,
DOGEUSDT,binance,5,50.0,40,10,3.0,atr,0.005,495,0.3172,0.761,1.638,-0.11,-4.94,-0.2471,15.06,0.3196,6.49,-1.268,123.5,
BNBUSDT,binance,5,50.0,40,10,3.0,atr,0.005,565,0.3062,0.755,1.712,-0.141,-5.53,-0.2767,14.47,0.2851,5.73,-1.557,112.4,
DOGEUSDT,binance,5,50.0,20,10,2.0,channel,0.005,703,0.293,0.746,1.8,-0.109,-6.53,-0.3264,13.47,0.3831,7.91,-1.327,121.7,
DOGEUSDT,binance,5,50.0,20,10,3.0,channel,0.005,703,0.293,0.746,1.8,-0.109,-6.53,-0.3264,13.47,0.3831,7.91,-1.327,121.7,
ETHUSDT,binance,5,50.0,40,10,3.0,atr,0.005,210,0.2619,0.744,2.096,-0.152,-2.96,-0.1482,17.04,0.2231,4.48,-1.296,106.3,
DOGEUSDT,binance,5,50.0,40,10,2.0,atr,0.005,534,0.2865,0.741,1.846,-0.155,-7.08,-0.3539,12.92,0.4392,9.02,-1.285,102.1,
DOGEUSDT,binance,5,50.0,20,10,3.0,atr,0.005,734,0.2916,0.735,1.787,-0.119,-7.25,-0.3627,12.75,0.4158,8.53,-1.386,120.7,
SOLUSDT,binance,5,50.0,40,10,2.0,atr,0.005,564,0.2872,0.73,1.812,-0.165,-7.64,-0.3821,12.36,0.4563,9.51,-1.455,99.3,
XRPUSDT,binance,15,50.0,20,10,3.0,atr,0.005,243,0.3045,0.73,1.668,-0.126,-2.89,-0.1446,17.11,0.1636,3.27,-1.692,350.4,
BNBUSDT,binance,5,50.0,20,10,3.0,atr,0.005,815,0.3117,0.728,1.608,-0.14,-7.9,-0.3952,12.1,0.4224,8.57,-1.566,112.3,
BNBUSDT,binance,5,50.0,20,10,2.0,channel,0.005,780,0.3218,0.713,1.503,-0.123,-7.29,-0.3645,12.71,0.3884,7.81,-1.594,115.8,
BNBUSDT,binance,5,50.0,20,10,3.0,channel,0.005,780,0.3218,0.713,1.503,-0.123,-7.29,-0.3645,12.71,0.3884,7.81,-1.594,115.8,
SOLUSDT,binance,5,50.0,40,10,3.0,atr,0.005,522,0.3084,0.712,1.597,-0.142,-6.19,-0.3093,13.81,0.3374,6.94,-1.741,114.8,
BNBUSDT,binance,15,50.0,20,10,3.0,atr,0.005,257,0.3268,0.711,1.465,-0.148,-2.52,-0.1258,17.48,0.1264,2.53,-2.097,338.0,
