pair,exchange,entry_tf,leverage,entry_len,exit_len,stop_atr_mult,stop_mode,risk_pct,trades,win_rate,profit_factor,payoff_ratio,avg_r,total_pnl,return_pct,final_equity,max_drawdown_pct,max_drawdown,sharpe,avg_duration_min,error
DOGEUSDT,binance,5,50.0,20,10,2.0,atr,0.005,2,1.0,inf,0.0,2.185,0.44,0.0219,20.44,0.0,0.0,18.907,187.5,
DOGEUSDT,binance,5,50.0,20,10,2.0,channel,0.005,2,1.0,inf,0.0,1.358,0.27,0.0136,20.27,0.0,0.0,16.89,187.5,
DOGEUSDT,binance,5,50.0,20,10,3.0,atr,0.005,2,1.0,inf,0.0,1.457,0.29,0.0146,20.29,0.0,0.0,18.907,187.5,
DOGEUSDT,binance,5,50.0,20,10,3.0,channel,0.005,2,1.0,inf,0.0,1.358,0.27,0.0136,20.27,0.0,0.0,16.89,187.5,
SOLUSDT,binance,15,50.0,20,10,2.0,channel,0.005,4,0.5,6.383,6.383,1.195,0.47,0.0233,20.47,0.0043,0.09,8.425,498.8,
SOLUSDT,binance,15,50.0,20,10,3.0,channel,0.005,4,0.5,6.383,6.383,1.195,0.47,0.0233,20.47,0.0043,0.09,8.425,498.8,
SOLUSDT,binance,15,50.0,20,10,2.0,atr,0.005,4,0.5,5.531,5.531,1.765,0.66,0.0329,20.66,0.0073,0.15,8.165,435.0,
XRPUSDT,binance,5,50.0,20,10,2.0,atr,0.005,8,0.625,5.348,3.209,0.897,0.72,0.036,20.72,0.0058,0.12,7.927,165.6,
SOLUSDT,binance,15,50.0,20,10,3.0,atr,0.005,4,0.5,4.911,4.911,1.13,0.44,0.022,20.44,0.0056,0.11,7.663,498.8,
XRPUSDT,binance,5,50.0,20,10,3.0,atr,0.005,8,0.625,4.65,2.79,0.577,0.46,0.0231,20.46,0.0047,0.1,7.475,171.9,
XRPUSDT,binance,5,50.0,20,10,2.0,channel,0.005,8,0.625,4.11,2.466,0.384,0.31,0.0153,20.31,0.0037,0.07,6.664,171.9,
XRPUSDT,binance,5,50.0,20,10,3.0,channel,0.005,8,0.625,4.11,2.466,0.384,0.31,0.0153,20.31,0.0037,0.07,6.664,171.9,
DOGEUSDT,binance,5,50.0,40,10,2.0,channel,0.005,2,0.5,3.784,3.784,0.834,0.17,0.0083,20.17,0.0029,0.06,6.56,120.0,
DOGEUSDT,binance,5,50.0,40,10,3.0,channel,0.005,2,0.5,3.784,3.784,0.834,0.17,0.0083,20.17,0.0029,0.06,6.56,120.0,
DOGEUSDT,binance,5,50.0,40,10,2.0,atr,0.005,2,0.5,2.745,2.745,1.117,0.22,0.0111,20.22,0.0062,0.13,5.3,95.0,
BNBUSDT,binance,15,50.0,20,10,2.0,channel,0.005,5,0.8,2.493,0.623,0.326,0.1,0.0052,20.1,0.0035,0.07,5.221,348.0,
BNBUSDT,binance,15,50.0,20,10,3.0,channel,0.005,5,0.8,2.493,0.623,0.326,0.1,0.0052,20.1,0.0035,0.07,5.221,348.0,
