ts,symbol,exchange,tf,predictor,session,direction,entry_price,sl,tp1,risk_price,outcome_2r,hit_2r,mfe_r,mae_r,exit_reason,review_bucket,entry_model,target_model,management_model,bars_to_entry,confirmation_model,notes_hint
2026-05-31 12:45:00+00:00,1000PEPEUSDT,binance,15,crypto_london_frequency_audit,london,long,0.0034432,0.0034085,0.0035126,3.469999999999992e-05,-1.0789821325648417,False,0.07204610951008368,-2.9855907780979933,stop,current_london_loser,structure_confirmed_next_open,fixed_2r,be_after_half_target,1,latest_bull_regime,"Current-filter loser: inspect direction, consolidation, candle confirmation, and whether entry came after exhaustion."
2026-06-08 11:45:00+00:00,1000PEPEUSDT,binance,15,crypto_london_frequency_audit,london,long,0.0028257,0.0027445,0.0029881,8.120000000000002e-05,-0.11154975369458062,False,0.5283251231527067,-0.38546798029556845,expiry,current_london_loser,structure_confirmed_next_open,fixed_2r,be_after_half_target,1,latest_bull_regime,"Current-filter loser: inspect direction, consolidation, candle confirmation, and whether entry came after exhaustion."
2026-06-13 11:30:00+00:00,1000PEPEUSDT,binance,15,crypto_london_frequency_audit,london,long,0.0028516,0.0027857,0.0029834000000000006,6.590000000000025e-05,-0.010347799696509237,False,0.3459787556904373,-0.2321699544764818,expiry,current_london_loser,structure_confirmed_next_open,fixed_2r,be_after_half_target,1,latest_bull_regime,"Current-filter loser: inspect direction, consolidation, candle confirmation, and whether entry came after exhaustion."
2026-06-15 10:15:00+00:00,1000PEPEUSDT,binance,15,crypto_london_frequency_audit,london,long,0.0029103,0.0028889,0.002953100000000001,2.1400000000000412e-05,1.9180028037383192,True,6.799065420560607,-0.17757009345796002,target,current_london_winner,structure_confirmed_next_open,fixed_2r,be_after_half_target,1,latest_bull_regime,Current-filter winner: identify causal price action that should generalize.
2026-06-15 11:15:00+00:00,1000PEPEUSDT,binance,15,crypto_london_frequency_audit,london,long,0.0029521,0.0028889,0.0030785000000000005,6.320000000000024e-05,1.4731031645569581,False,1.9525316455696142,0.0,expiry,current_london_winner,structure_confirmed_next_open,fixed_2r,be_after_half_target,1,latest_bull_regime,Current-filter winner: identify causal price action that should generalize.
2026-07-02 08:15:00+00:00,1000PEPEUSDT,binance,15,crypto_london_frequency_audit,london,long,0.0023757,0.0023286,0.0024699,4.7100000000000006e-05,1.969336305732484,True,2.5180467091295102,-0.050955414012740084,target,current_london_winner,structure_confirmed_next_open,fixed_2r,be_after_half_target,1,latest_bull_regime,Current-filter winner: identify causal price action that should generalize.
2026-06-27 10:15:00+00:00,1000PEPEUSDT,binance,15,crypto_london_frequency_audit,london,long,0.0024115,0.0024058,0.0024229,5.699999999999976e-06,-1.3380561403508786,False,7.842105263157919,-3.3859649122806936,stop,hindsight_near_miss_loser,fvg_edge_retest,fixed_2r,be_after_half_target,1,none,HINDSIGHT near-miss: judge visually only. Do not train from this as a winner unless a causal filter is identified.
2026-06-27 10:15:00+00:00,1000PEPEUSDT,binance,15,crypto_london_frequency_audit,london,long,0.0024119,0.0024058,0.0024240999999999993,6.099999999999769e-06,-1.3159147540983727,False,7.262295081967514,-3.2295081967213792,stop,hindsight_near_miss_loser,fvg_ce_retest,fixed_2r,be_after_half_target,1,none,HINDSIGHT near-miss: judge visually only. Do not train from this as a winner unless a causal filter is identified.
2026-06-27 10:15:00+00:00,1000PEPEUSDT,binance,15,crypto_london_frequency_audit,london,long,0.0024138,0.0024058,0.0024297999999999993,7.99999999999976e-06,-1.240980000000007,False,5.300000000000179,-2.700000000000038,stop,hindsight_near_miss_loser,next_open,fixed_2r,be_after_half_target,1,none,HINDSIGHT near-miss: judge visually only. Do not train from this as a winner unless a causal filter is identified.
2026-06-15 12:15:00+00:00,1000PEPEUSDT,binance,15,crypto_london_frequency_audit,london,long,0.0029671000000000003,0.0028889,0.0031235000000000013,7.820000000000049e-05,1.97683452685422,True,2.135549872122744,-0.07289002557545235,target,hindsight_near_miss_winner,fvg_ce_retest,fixed_2r,be_after_half_target,3,none,HINDSIGHT near-miss: judge visually only. Do not train from this as a winner unless a causal filter is identified.
