ts,open,high,low,close,volume
2026-03-13 00:00:00+00:00,212.59,212.596,212.421,212.496,7393.0
2026-03-13 00:30:00+00:00,212.497,212.691,212.496,212.596,7158.0
2026-03-13 01:00:00+00:00,212.595,212.718,212.584,212.635,7847.0
2026-03-13 01:30:00+00:00,212.633,212.717,212.624,212.716,5609.0
2026-03-13 02:00:00+00:00,212.716,212.809,212.664,212.806,6643.0
2026-03-13 02:30:00+00:00,212.805,212.81,212.63,212.674,6258.0
2026-03-13 03:00:00+00:00,212.672,212.71,212.593,212.694,6301.0
2026-03-13 03:30:00+00:00,212.694,212.705,212.623,212.676,5269.0
2026-03-13 04:00:00+00:00,212.674,212.698,212.599,212.648,4460.0
2026-03-13 04:30:00+00:00,212.647,212.87,212.559,212.636,6834.0
2026-03-13 05:00:00+00:00,212.636,212.638,212.4,212.452,5280.0
2026-03-13 05:30:00+00:00,212.452,212.559,212.438,212.55,5519.0
2026-03-13 06:00:00+00:00,212.549,212.556,212.344,212.374,8182.0
2026-03-13 06:30:00+00:00,212.379,212.387,212.213,212.278,7866.0
2026-03-13 07:00:00+00:00,212.266,212.266,211.859,212.019,9932.0
2026-03-13 07:30:00+00:00,212.02,212.032,211.643,211.723,9188.0
2026-03-13 08:00:00+00:00,211.715,211.715,211.406,211.449,9937.0
2026-03-13 08:30:00+00:00,211.446,211.594,211.283,211.284,9305.0
2026-03-13 09:00:00+00:00,211.282,211.6,211.255,211.591,9501.0
2026-03-13 09:30:00+00:00,211.59,211.608,211.385,211.501,7292.0
2026-03-13 10:00:00+00:00,211.5,211.611,211.396,211.436,6818.0
2026-03-13 10:30:00+00:00,211.437,211.509,211.309,211.365,7408.0
2026-03-13 11:00:00+00:00,211.364,211.398,211.16,211.362,8018.0
2026-03-13 11:30:00+00:00,211.362,211.457,211.128,211.128,7222.0
2026-03-13 12:00:00+00:00,211.129,211.482,211.093,211.388,7802.0
2026-03-13 12:30:00+00:00,211.328,211.516,211.322,211.448,10199.0
2026-03-13 13:00:00+00:00,211.448,211.523,211.323,211.366,8371.0
2026-03-13 13:30:00+00:00,211.365,211.405,211.221,211.221,9003.0
2026-03-13 14:00:00+00:00,211.242,211.301,211.125,211.244,10210.0
2026-03-13 14:30:00+00:00,211.246,211.434,211.231,211.243,10042.0
2026-03-13 15:00:00+00:00,211.242,211.353,211.158,211.192,8936.0
2026-03-13 15:30:00+00:00,211.192,211.288,211.14,211.207,10216.0
2026-03-13 16:00:00+00:00,211.205,211.301,211.194,211.259,9742.0
2026-03-13 16:30:00+00:00,211.259,211.38,211.175,211.38,8937.0
2026-03-13 17:00:00+00:00,211.379,211.51,211.334,211.442,7544.0
2026-03-13 17:30:00+00:00,211.442,211.476,211.338,211.367,8230.0
2026-03-13 18:00:00+00:00,211.367,211.471,211.307,211.378,7053.0
2026-03-13 18:30:00+00:00,211.376,211.455,211.371,211.405,6247.0
2026-03-13 19:00:00+00:00,211.398,211.398,211.252,211.266,6207.0
2026-03-13 19:30:00+00:00,211.266,211.296,211.173,211.201,5977.0
2026-03-13 20:00:00+00:00,211.201,211.204,211.064,211.142,4445.0
2026-03-13 20:30:00+00:00,211.141,211.226,211.061,211.061,2769.0
