ts,open,high,low,close,volume
2025-12-07 22:00:00+00:00,155.154,155.98,154.893,155.914,138874.0
2025-12-08 22:00:00+00:00,155.819,156.947,155.738,156.879,143590.0
2025-12-09 22:00:00+00:00,156.764,156.931,155.789,156.002,148952.0
2025-12-10 22:00:00+00:00,155.856,156.158,154.942,155.556,180993.0
2025-12-11 22:00:00+00:00,155.578,156.122,155.445,155.817,142744.0
2025-12-14 22:00:00+00:00,155.798,155.98,154.83,155.211,148544.0
2025-12-15 22:00:00+00:00,155.196,155.297,154.39,154.719,198528.0
2025-12-16 22:00:00+00:00,154.694,155.744,154.506,155.703,167703.0
2025-12-17 22:00:00+00:00,155.694,155.969,155.261,155.541,166336.0
2025-12-18 22:00:00+00:00,155.553,157.775,155.427,157.733,201827.0
2025-12-21 22:00:00+00:00,157.434,157.702,156.699,157.039,153053.0
2025-12-22 22:00:00+00:00,157.05,157.07,155.645,156.212,171139.0
2025-12-23 22:00:00+00:00,156.196,156.277,155.551,155.839,146929.0
2025-12-25 22:00:00+00:00,155.921,156.727,155.753,156.483,134371.0
2025-12-26 22:00:00+00:00,156.46,156.46,156.46,156.46,2.0
2025-12-28 22:00:00+00:00,156.419,156.552,155.912,156.041,155551.0
2025-12-29 22:00:00+00:00,156.05,156.561,155.737,156.404,139607.0
2025-12-30 22:00:00+00:00,156.327,156.989,156.312,156.636,118365.0
2026-01-01 22:00:00+00:00,156.627,156.995,156.513,156.786,125846.0
2026-01-02 22:00:00+00:00,156.83,156.83,156.83,156.83,2.0
2026-01-04 22:00:00+00:00,156.741,157.293,156.11,156.385,182301.0
2026-01-05 22:00:00+00:00,156.309,156.794,156.158,156.661,164880.0
2026-01-06 22:00:00+00:00,156.585,156.803,156.289,156.776,144918.0
2026-01-07 22:00:00+00:00,156.736,157.066,156.453,156.869,135690.0
2026-01-08 22:00:00+00:00,156.724,158.18,156.696,157.861,162101.0
2026-01-11 22:00:00+00:00,158.024,158.2,157.513,158.153,140476.0
2026-01-12 22:00:00+00:00,158.145,159.187,157.892,159.158,166482.0
2026-01-13 22:00:00+00:00,159.112,159.448,158.089,158.426,184178.0
2026-01-14 22:00:00+00:00,158.419,158.873,158.168,158.634,165327.0
2026-01-15 22:00:00+00:00,158.569,158.698,157.816,158.041,159722.0
2026-01-18 22:00:00+00:00,157.884,158.163,157.419,158.132,147239.0
2026-01-19 22:00:00+00:00,158.005,158.598,157.461,158.151,218684.0
2026-01-20 22:00:00+00:00,158.115,158.527,157.741,158.296,192749.0
2026-01-21 22:00:00+00:00,158.287,158.889,158.173,158.413,176180.0
2026-01-22 22:00:00+00:00,158.399,159.221,155.58,155.599,207158.0
2026-01-25 22:00:00+00:00,154.79,155.34,153.301,154.18,269542.0
2026-01-26 22:00:00+00:00,154.085,154.872,152.085,152.147,236452.0
2026-01-27 22:00:00+00:00,152.18,154.042,152.175,153.414,262841.0
2026-01-28 22:00:00+00:00,153.346,153.531,152.676,153.086,267095.0
2026-01-29 22:00:00+00:00,153.005,154.79,152.861,154.764,313275.0
2026-02-01 22:00:00+00:00,154.851,155.78,154.546,155.579,281060.0
2026-02-02 22:00:00+00:00,155.633,156.078,155.299,155.758,202098.0
2026-02-03 22:00:00+00:00,155.7,156.94,155.69,156.865,201656.0
2026-02-04 22:00:00+00:00,156.79,157.331,156.529,157.001,208948.0
2026-02-05 22:00:00+00:00,156.945,157.267,156.508,157.208,181057.0
2026-02-08 22:00:00+00:00,157.519,157.657,155.516,155.862,228024.0
2026-02-09 22:00:00+00:00,155.731,156.288,154.048,154.374,202330.0
2026-02-10 22:00:00+00:00,154.366,154.643,152.547,153.244,226059.0
2026-02-11 22:00:00+00:00,153.024,153.753,152.265,152.737,251000.0
2026-02-12 22:00:00+00:00,152.734,153.66,152.589,152.657,203706.0
2026-02-13 22:00:00+00:00,152.642,152.642,152.642,152.642,2.0
2026-02-15 22:00:00+00:00,152.611,153.631,152.591,153.502,111690.0
2026-02-16 22:00:00+00:00,153.44,153.916,152.695,153.285,194903.0
2026-02-17 22:00:00+00:00,153.17,154.863,153.065,154.828,161097.0
2026-02-18 22:00:00+00:00,154.786,155.336,154.534,154.978,185530.0
2026-02-19 22:00:00+00:00,154.91,155.64,154.709,155.06,193108.0
2026-02-20 22:00:00+00:00,155.006,155.006,155.006,155.006,2.0
2026-02-22 22:00:00+00:00,154.888,155.037,153.986,154.656,168534.0
2026-02-23 22:00:00+00:00,154.571,156.276,154.474,155.898,175764.0
2026-02-24 22:00:00+00:00,155.818,156.82,155.342,156.364,165367.0
2026-02-25 22:00:00+00:00,156.348,156.426,155.689,156.127,169687.0
2026-02-26 22:00:00+00:00,156.108,156.228,155.532,156.033,165639.0
2026-03-01 22:00:00+00:00,156.151,157.747,156.068,157.335,262078.0
2026-03-02 22:00:00+00:00,157.364,157.963,157.145,157.705,258829.0
2026-03-03 22:00:00+00:00,157.509,157.86,156.85,157.031,219581.0
2026-03-04 22:00:00+00:00,157.046,157.842,156.448,157.525,255582.0
2026-03-05 22:00:00+00:00,157.501,158.085,157.314,157.733,248299.0
