ts,open,high,low,close,volume
2026-03-06 11:00:00+00:00,157.873,157.894,157.826,157.841,2447.0
2026-03-06 11:15:00+00:00,157.84,157.885,157.84,157.881,2186.0
2026-03-06 11:30:00+00:00,157.882,157.991,157.872,157.955,2343.0
2026-03-06 11:45:00+00:00,157.954,157.975,157.896,157.947,2292.0
2026-03-06 12:00:00+00:00,157.942,157.996,157.931,157.986,1770.0
2026-03-06 12:15:00+00:00,157.987,158.08,157.941,157.964,2429.0
2026-03-06 12:30:00+00:00,157.963,157.968,157.845,157.866,2404.0
2026-03-06 12:45:00+00:00,157.868,158.008,157.854,157.996,2497.0
2026-03-06 13:00:00+00:00,157.999,157.999,157.871,157.891,2966.0
2026-03-06 13:15:00+00:00,157.892,157.937,157.817,157.833,2614.0
2026-03-06 13:30:00+00:00,157.394,157.657,157.314,157.535,6740.0
2026-03-06 13:45:00+00:00,157.54,157.888,157.521,157.869,6086.0
2026-03-06 14:00:00+00:00,157.868,157.956,157.782,157.861,4864.0
2026-03-06 14:15:00+00:00,157.86,158.085,157.844,158.0,4405.0
2026-03-06 14:30:00+00:00,158.002,158.004,157.792,157.798,5784.0
2026-03-06 14:45:00+00:00,157.799,157.829,157.639,157.663,4867.0
2026-03-06 15:00:00+00:00,157.661,157.697,157.54,157.617,5156.0
2026-03-06 15:15:00+00:00,157.622,157.767,157.59,157.762,4180.0
2026-03-06 15:30:00+00:00,157.768,157.768,157.611,157.672,4012.0
2026-03-06 15:45:00+00:00,157.673,157.71,157.547,157.582,4411.0
2026-03-06 16:00:00+00:00,157.58,157.711,157.541,157.697,4764.0
2026-03-06 16:15:00+00:00,157.695,157.695,157.522,157.609,3732.0
2026-03-06 16:30:00+00:00,157.608,157.63,157.53,157.54,3466.0
2026-03-06 16:45:00+00:00,157.548,157.637,157.506,157.635,3742.0
2026-03-06 17:00:00+00:00,157.636,157.693,157.595,157.685,3388.0
2026-03-06 17:15:00+00:00,157.685,157.746,157.607,157.741,3431.0
2026-03-06 17:30:00+00:00,157.742,157.85,157.708,157.794,3950.0
2026-03-06 17:45:00+00:00,157.79,157.84,157.73,157.795,3464.0
2026-03-06 18:00:00+00:00,157.796,157.821,157.629,157.643,3767.0
2026-03-06 18:15:00+00:00,157.644,157.745,157.609,157.732,3744.0
2026-03-06 18:30:00+00:00,157.734,157.772,157.683,157.762,2969.0
2026-03-06 18:45:00+00:00,157.761,157.871,157.744,157.809,2507.0
2026-03-06 19:00:00+00:00,157.807,157.858,157.757,157.788,2607.0
2026-03-06 19:15:00+00:00,157.791,157.834,157.744,157.8,2470.0
2026-03-06 19:30:00+00:00,157.805,157.825,157.761,157.799,2971.0
2026-03-06 19:45:00+00:00,157.8,157.872,157.768,157.869,2586.0
2026-03-06 20:00:00+00:00,157.871,157.884,157.832,157.86,2147.0
2026-03-06 20:15:00+00:00,157.859,157.944,157.859,157.942,2538.0
2026-03-06 20:30:00+00:00,157.941,157.956,157.843,157.894,2818.0
2026-03-06 20:45:00+00:00,157.895,157.914,157.85,157.9,2234.0
2026-03-06 21:00:00+00:00,157.896,157.899,157.802,157.817,2186.0
2026-03-06 21:15:00+00:00,157.818,157.862,157.805,157.819,2298.0
2026-03-06 21:30:00+00:00,157.82,157.872,157.803,157.829,2742.0
2026-03-06 21:45:00+00:00,157.831,157.848,157.732,157.733,2546.0
