ts,open,high,low,close,volume
2026-02-05 03:30:00+00:00,76.199,77.12,74.296,76.711,4441.0
2026-02-05 03:45:00+00:00,76.72,77.46,76.096,77.1,3256.0
2026-02-05 04:00:00+00:00,77.097,77.437,75.793,76.881,2780.0
2026-02-05 04:15:00+00:00,76.876,77.907,76.624,77.33,2705.0
2026-02-05 04:30:00+00:00,77.333,77.515,76.556,77.084,3189.0
2026-02-05 04:45:00+00:00,77.088,77.529,75.929,76.17,2965.0
2026-02-05 05:00:00+00:00,76.099,77.127,75.961,76.325,3053.0
2026-02-05 05:15:00+00:00,76.321,76.576,75.125,76.208,2819.0
2026-02-05 05:30:00+00:00,76.198,77.137,73.907,76.659,5201.0
2026-02-05 05:45:00+00:00,76.675,77.994,76.502,77.343,4591.0
2026-02-05 06:00:00+00:00,77.35,79.134,76.541,78.733,3538.0
2026-02-05 06:15:00+00:00,78.722,79.12,77.905,79.048,3708.0
2026-02-05 06:30:00+00:00,79.05,79.206,78.211,78.947,2388.0
2026-02-05 06:45:00+00:00,78.948,79.592,77.014,78.511,3743.0
2026-02-05 07:00:00+00:00,78.508,79.666,78.173,79.218,2954.0
2026-02-05 07:15:00+00:00,79.214,80.237,79.12,80.098,2874.0
2026-02-05 07:30:00+00:00,80.13,80.39,79.195,79.761,2918.0
2026-02-05 07:45:00+00:00,79.763,80.15,79.21,80.014,2043.0
2026-02-05 08:00:00+00:00,80.015,80.526,79.697,80.424,2542.0
2026-02-05 08:15:00+00:00,80.423,81.055,80.346,80.589,2851.0
2026-02-05 08:30:00+00:00,80.591,80.868,80.287,80.614,2818.0
2026-02-05 08:45:00+00:00,80.612,80.612,79.035,79.797,2535.0
2026-02-05 09:00:00+00:00,79.836,79.956,77.99,78.098,3960.0
2026-02-05 09:15:00+00:00,78.092,79.175,77.668,78.645,3773.0
2026-02-05 09:30:00+00:00,78.646,79.517,78.599,79.422,2388.0
2026-02-05 09:45:00+00:00,79.436,79.491,78.154,78.623,3401.0
2026-02-05 10:00:00+00:00,78.622,78.918,77.819,78.6,3506.0
2026-02-05 10:15:00+00:00,78.601,78.822,78.011,78.297,2660.0
2026-02-05 10:30:00+00:00,78.298,78.626,77.873,78.515,2652.0
2026-02-05 10:45:00+00:00,78.527,79.044,78.255,78.562,1817.0
2026-02-05 11:00:00+00:00,78.556,79.41,78.544,79.34,1849.0
2026-02-05 11:15:00+00:00,79.356,79.463,78.771,79.057,1963.0
2026-02-05 11:30:00+00:00,79.067,79.079,78.063,78.063,2332.0
2026-02-05 11:45:00+00:00,78.084,78.593,78.053,78.39,2249.0
2026-02-05 12:00:00+00:00,78.348,78.832,77.265,77.395,4108.0
2026-02-05 12:15:00+00:00,77.4,77.646,76.095,76.954,4736.0
2026-02-05 12:30:00+00:00,76.953,77.439,76.022,76.055,5041.0
2026-02-05 12:45:00+00:00,76.062,77.096,75.501,75.982,4451.0
2026-02-05 13:00:00+00:00,76.032,77.046,74.764,76.462,6074.0
2026-02-05 13:15:00+00:00,76.455,77.43,76.317,76.868,4608.0
2026-02-05 13:30:00+00:00,76.845,77.803,76.167,76.223,4875.0
2026-02-05 13:45:00+00:00,76.222,76.777,75.739,76.065,4432.0
2026-02-05 14:00:00+00:00,76.073,76.073,74.819,74.819,5034.0
2026-02-05 14:15:00+00:00,74.82,75.38,73.981,75.292,5672.0
2026-02-05 14:30:00+00:00,75.261,77.017,73.478,76.89,7516.0
2026-02-05 14:45:00+00:00,76.888,77.603,76.14,76.437,6469.0
2026-02-05 15:00:00+00:00,76.412,77.188,74.247,74.267,6371.0
2026-02-05 15:15:00+00:00,74.259,75.01,73.637,73.878,5963.0
2026-02-05 15:30:00+00:00,73.856,74.668,73.053,73.073,6241.0
2026-02-05 15:45:00+00:00,73.09,74.146,72.279,74.082,6979.0
2026-02-05 16:00:00+00:00,74.075,75.056,73.924,74.433,6023.0
2026-02-05 16:15:00+00:00,74.428,76.403,74.33,75.987,5385.0
2026-02-05 16:30:00+00:00,76.012,77.208,75.834,77.067,5065.0
2026-02-05 16:45:00+00:00,77.064,77.54,76.192,77.108,5356.0
2026-02-05 17:00:00+00:00,77.077,77.124,76.063,76.686,4518.0
2026-02-05 17:15:00+00:00,76.685,76.938,76.105,76.46,3660.0
2026-02-05 17:30:00+00:00,76.449,76.972,76.172,76.548,3568.0
2026-02-05 17:45:00+00:00,76.547,77.537,76.493,76.642,3892.0
2026-02-05 18:00:00+00:00,76.64,76.753,75.564,75.694,4444.0
2026-02-05 18:15:00+00:00,75.695,77.88,75.205,77.39,5270.0
2026-02-05 18:30:00+00:00,77.406,77.406,76.483,76.925,3500.0
2026-02-05 18:45:00+00:00,76.923,77.002,75.799,76.077,3068.0
2026-02-05 19:00:00+00:00,76.074,76.454,75.721,75.75,3238.0
